,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Predicted_Outlet_Sales
0,FDW58,20.75,Low Fat,0.007564836,Snack Foods,107.8622,OUT049,1999,Medium,Tier 1,Supermarket Type1,1723.2459096273599
1,FDW14,8.3,Regular,0.038427677,Dairy,87.3198,OUT017,2007,Small,Tier 2,Supermarket Type1,1471.1102558207597
2,NCN55,14.6,Low Fat,0.099574908,Others,241.7538,OUT010,1998,Small,Tier 3,Grocery Store,583.9814564436637
3,FDQ58,7.315,Low Fat,0.015388393,Snack Foods,155.034,OUT017,2007,Small,Tier 2,Supermarket Type1,2592.49280703522
4,FDY38,13.6,Regular,0.118599314,Dairy,234.23,OUT027,1985,Medium,Tier 3,Supermarket Type3,6331.054471745136
5,FDH56,9.8,Regular,0.063817206,Fruits and Vegetables,117.1492,OUT046,1997,Small,Tier 1,Supermarket Type1,1895.9540050638934
6,FDL48,19.35,Regular,0.082601537,Baking Goods,50.1034,OUT018,2009,Medium,Tier 3,Supermarket Type2,676.8887336041535
7,FDC48,9.195,Low Fat,0.015782495,Baking Goods,81.0592,OUT027,1985,Medium,Tier 3,Supermarket Type3,2159.8161504873665
8,FDN33,6.305,Regular,0.123365446,Snack Foods,95.7436,OUT045,2002,Small,Tier 2,Supermarket Type1,1483.9251447255813
9,FDA36,5.985,Low Fat,0.005698435,Baking Goods,186.8924,OUT017,2007,Small,Tier 2,Supermarket Type1,3213.634189336143
10,FDT44,16.6,Low Fat,0.103569075,Fruits and Vegetables,118.3466,OUT017,2007,Small,Tier 2,Supermarket Type1,2029.429850744718
11,FDQ56,6.59,Low Fat,0.10581147,Fruits and Vegetables,85.3908,OUT045,2002,Small,Tier 2,Supermarket Type1,1320.1488765918957
12,NCC54,17.75,Low Fat,0.171079215,Health and Hygiene,240.4196,OUT019,1985,Small,Tier 1,Grocery Store,570.4978423020887
13,FDU11,4.785,Low Fat,0.092737611,Breads,122.3098,OUT049,1999,Medium,Tier 1,Supermarket Type1,2010.5055649809492
14,DRL59,16.75,Low Fat,0.021206464,Hard Drinks,52.0298,OUT013,1987,High,Tier 3,Supermarket Type1,822.1908707556114
15,FDM24,6.135,Regular,0.0794507,Baking Goods,151.6366,OUT049,1999,Medium,Tier 1,Supermarket Type1,2508.6263077244803
16,FDI57,19.85,Low Fat,0.05413521,Seafood,198.7768,OUT045,2002,Small,Tier 2,Supermarket Type1,3435.3679149153077
17,DRC12,17.85,Low Fat,0.037980963,Soft Drinks,192.2188,OUT018,2009,Medium,Tier 3,Supermarket Type2,2791.4737700419546
18,NCM42,6.13,Low Fat,0.028184344,Household,109.6912,OUT027,1985,Medium,Tier 3,Supermarket Type3,2840.2788532899417
19,FDA46,13.6,Low Fat,0.196897637,Snack Foods,193.7136,OUT010,1998,Small,Tier 3,Grocery Store,458.2422363618982
20,FDA31,7.1,Low Fat,0.109920138,Fruits and Vegetables,175.008,OUT013,1987,High,Tier 3,Supermarket Type1,2845.3279281732175
21,NCJ31,19.2,Low Fat,0.182619235,Others,239.9196,OUT035,2004,Small,Tier 2,Supermarket Type1,3992.4558899132894
22,FDG52,13.65,Low Fat,0.065630844,Frozen Foods,47.7402,OUT046,1997,Small,Tier 1,Supermarket Type1,734.4959652522093
23,NCL19,15.35,Low Fat,0.027447057,Others,142.347,OUT019,1985,Small,Tier 1,Grocery Store,343.1573990827925
24,FDS10,19.2,Low Fat,0.035178935,Snack Foods,180.7318,OUT035,2004,Small,Tier 2,Supermarket Type1,3060.227906818199
25,FDX22,6.785,Regular,0.038455125,Snack Foods,209.4928,OUT010,1998,Small,Tier 3,Grocery Store,510.8567909037062
26,NCF19,13.0,Low Fat,0.035102094,Household,47.6034,OUT035,2004,Small,Tier 2,Supermarket Type1,781.4485557325099
27,NCE06,5.825,Low Fat,0.091485232,Household,161.3894,OUT046,1997,Small,Tier 1,Supermarket Type1,2464.2627297804206
28,DRC27,13.8,Low Fat,0.058102469,Dairy,244.6802,OUT046,1997,Small,Tier 1,Supermarket Type1,3884.765390403226
29,FDE21,12.8,Low Fat,0.022940349,Fruits and Vegetables,116.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,2040.1086708414903
30,NCR42,9.105,Low Fat,0.06737681,Household,32.09,OUT019,1985,Small,Tier 1,Grocery Store,74.92598213885171
31,FDX51,9.5,Regular,0.022148582,Meat,194.9452,OUT018,2009,Medium,Tier 3,Supermarket Type2,2839.758438894763
32,NCR06,12.5,Low Fat,0.006792707,Household,42.4112,OUT018,2009,Medium,Tier 3,Supermarket Type2,579.536068638134
33,FDU31,10.5,Regular,0.024870035,Fruits and Vegetables,217.7508,OUT027,1985,Medium,Tier 3,Supermarket Type3,6071.958905835651
34,FDU59,5.78,Low Fat,0.096931426,Breads,164.2552,OUT017,2007,Small,Tier 2,Supermarket Type1,2740.9171672734856
35,FDR03,15.7,Regular,0.008693632,Meat,205.098,OUT027,1985,Medium,Tier 3,Supermarket Type3,5745.722031258956
36,FDS49,9.0,Low Fat,0.078961284,Canned,80.3644,OUT027,1985,Medium,Tier 3,Supermarket Type3,2170.2546040055618
37,FDD48,10.395,Low Fat,0.050479463,Baking Goods,114.0176,OUT010,1998,Small,Tier 3,Grocery Store,272.84351138995646
38,NCF18,18.35,Low Fat,0.089485918,Household,192.1504,OUT017,2007,Small,Tier 2,Supermarket Type1,3221.1878822633425
39,NCD43,8.85,Low Fat,0.01594238,Household,103.3964,OUT027,1985,Medium,Tier 3,Supermarket Type3,2717.360298525607
40,NCD54,21.1,Low Fat,0.029127115,Household,143.3786,OUT018,2009,Medium,Tier 3,Supermarket Type2,1847.0373337637147
41,FDY19,19.75,Low Fat,0.069236421,Fruits and Vegetables,116.6466,OUT010,1998,Small,Tier 3,Grocery Store,271.0029538628871
42,NCY54,8.43,Low Fat,0.178699961,Household,173.9422,OUT017,2007,Small,Tier 2,Supermarket Type1,2827.069412109506
43,NCL19,15.35,Low Fat,0.015740089,Others,144.847,OUT018,2009,Medium,Tier 3,Supermarket Type2,2064.668465019665
44,FDP23,6.71,Low Fat,0.059565107,Breads,217.2166,OUT010,1998,Small,Tier 3,Grocery Store,528.7146502299867
45,FDC26,10.195,Low Fat,0.126277921,Canned,112.1886,OUT013,1987,High,Tier 3,Supermarket Type1,1879.1998655163468
46,FDR14,11.65,Low Fat,0.291322397,Dairy,55.8298,OUT010,1998,Small,Tier 3,Grocery Store,149.68640762701554
47,NCS41,12.85,Low Fat,0.053433908,Health and Hygiene,183.2608,OUT035,2004,Small,Tier 2,Supermarket Type1,3175.4860586459686
48,FDF41,12.15,Low Fat,0.131155007,Frozen Foods,248.146,OUT035,2004,Small,Tier 2,Supermarket Type1,4217.659023967974
49,FDU34,18.25,Low Fat,0.075194929,Snack Foods,124.9046,OUT046,1997,Small,Tier 1,Supermarket Type1,1961.5970812728901
50,DRH11,5.98,Low Fat,0.075557965,Hard Drinks,57.0614,OUT046,1997,Small,Tier 1,Supermarket Type1,856.2637272062104
51,FDM03,12.65,Low Fat,0.122928415,Meat,106.6938,OUT013,1987,High,Tier 3,Supermarket Type1,1742.56645068923
52,FDS31,13.1,Regular,0.044442342,Fruits and Vegetables,181.0318,OUT017,2007,Small,Tier 2,Supermarket Type1,3170.080021888275
53,FDJ20,20.7,Regular,0.100741569,Fruits and Vegetables,122.3388,OUT017,2007,Small,Tier 2,Supermarket Type1,1987.057598862226
54,FDV44,8.365,Regular,0.039651481,Fruits and Vegetables,188.7188,OUT027,1985,Medium,Tier 3,Supermarket Type3,5148.151314170679
55,FDG02,7.855,Low Fat,0.011278673,Canned,188.8188,OUT049,1999,Medium,Tier 1,Supermarket Type1,3309.8062229141465
56,FDA09,13.35,Regular,0.0,Snack Foods,179.666,OUT013,1987,High,Tier 3,Supermarket Type1,3044.1350745394184
57,FDT04,17.25,Low Fat,0.106952661,Frozen Foods,38.3822,OUT013,1987,High,Tier 3,Supermarket Type1,607.6329916527612
59,FDE52,10.395,Regular,0.029947409,Dairy,90.1514,OUT045,2002,Small,Tier 2,Supermarket Type1,1411.7617640746641
60,FDW12,8.315,Regular,0.035565457,Baking Goods,144.8444,OUT035,2004,Small,Tier 2,Supermarket Type1,2492.168034654524
61,FDL51,20.7,Regular,0.047760002,Dairy,214.9876,OUT017,2007,Small,Tier 2,Supermarket Type1,3528.9583536071427
62,NCY42,6.38,Low Fat,0.015089147,Household,141.347,OUT027,1985,Medium,Tier 3,Supermarket Type3,3636.497575449566
63,FDR07,21.35,Low Fat,0.07818366,Fruits and Vegetables,96.8094,OUT017,2007,Small,Tier 2,Supermarket Type1,1528.9756413438602
64,FDN40,5.88,Low Fat,0.086632125,Frozen Foods,152.6998,OUT045,2002,Small,Tier 2,Supermarket Type1,2307.732671717307
65,FDB35,12.3,Regular,0.064306056,Starchy Foods,90.3804,OUT027,1985,Medium,Tier 3,Supermarket Type3,2407.422206771336
66,FDA22,7.435,Low Fat,0.08493006,Starchy Foods,165.8158,OUT017,2007,Small,Tier 2,Supermarket Type1,2736.6733270946766
67,NCL06,14.65,Low Fat,0.072066634,Household,262.5594,OUT046,1997,Small,Tier 1,Supermarket Type1,3971.9698148176426
68,FDI35,14.0,Low Fat,0.041256807,Starchy Foods,181.2634,OUT013,1987,High,Tier 3,Supermarket Type1,2977.137304289657
69,NCW42,18.2,Low Fat,0.058587558,Household,221.6456,OUT045,2002,Small,Tier 2,Supermarket Type1,3467.968098931722
70,NCX06,17.6,Low Fat,0.015711434,Household,180.0976,OUT049,1999,Medium,Tier 1,Supermarket Type1,3012.5887645515136
